index,full,casewords,wsw,nopunc,text_lemmatized,final,fullnopunc,label
645,people are sitting on a bench in front of buildings.,people are sitting on a bench in front of buildings.,people sitting bench front buildings.,people sitting bench front buildings,"['people', 'sitting', 'bench', 'front', 'building']",people sitting bench front building,people are sitting on a bench in front of buildings,entailment
646,A little boy in a blue shirt is putting some sunglasses up to a window while a lady watches him.,a little boy in a blue shirt is putting some sunglasses up to a window while a lady watches him.,little boy blue shirt putting sunglasses window lady watches him.,little boy blue shirt putting sunglasses window lady watches him,"['little', 'boy', 'blue', 'shirt', 'putting', 'sunglass', 'window', 'lady', 'watch', 'him']",little boy blue shirt putting sunglass window lady watch him,A little boy in a blue shirt is putting some sunglasses up to a window while a lady watches him,entailment
647,Men in an office with computers and a projector screen.,men in an office with computers and a projector screen.,men office computers projector screen.,men office computers projector screen,"['men', 'office', 'computer', 'projector', 'screen']",men office computer projector screen,Men in an office with computers and a projector screen,neutral
648,Two kids in black trunks bouncing on a wet trampoline.,two kids in black trunks bouncing on a wet trampoline.,two kids black trunks bouncing wet trampoline.,two kids black trunks bouncing wet trampoline,"['two', 'kid', 'black', 'trunk', 'bouncing', 'wet', 'trampoline']",two kid black trunk bouncing wet trampoline,Two kids in black trunks bouncing on a wet trampoline,contradiction
649,A man with black clothing is sweeping steps with a broom.,a man with black clothing is sweeping steps with a broom.,man black clothing sweeping steps broom.,man black clothing sweeping steps broom,"['man', 'black', 'clothing', 'sweeping', 'step', 'broom']",man black clothing sweeping step broom,A man with black clothing is sweeping steps with a broom,entailment
650,Numerous customers browsing for produce in a market.,numerous customers browsing for produce in a market.,numerous customers browsing produce market.,numerous customers browsing produce market,"['numerous', 'customer', 'browsing', 'produce', 'market']",numerous customer browsing produce market,Numerous customers browsing for produce in a market,entailment
651,A brown dog persues a Frisbee across the grass as the thrower watches.,a brown dog persues a frisbee across the grass as the thrower watches.,brown dog persues frisbee across grass thrower watches.,brown dog persues frisbee across grass thrower watches,"['brown', 'dog', 'persues', 'frisbee', 'across', 'grass', 'thrower', 'watch']",brown dog persues frisbee across grass thrower watch,A brown dog persues a Frisbee across the grass as the thrower watches,entailment
652,A man in a gray coat is walking on a fallen tree trunk in a forest.,a man in a gray coat is walking on a fallen tree trunk in a forest.,man gray coat walking fallen tree trunk forest.,man gray coat walking fallen tree trunk forest,"['man', 'gray', 'coat', 'walking', 'fallen', 'tree', 'trunk', 'forest']",man gray coat walking fallen tree trunk forest,A man in a gray coat is walking on a fallen tree trunk in a forest,entailment
653,Two girls kissing a man with a black shirt and brown hair on the cheeks.,two girls kissing a man with a black shirt and brown hair on the cheeks.,two girls kissing man black shirt brown hair cheeks.,two girls kissing man black shirt brown hair cheeks,"['two', 'girl', 'kissing', 'man', 'black', 'shirt', 'brown', 'hair', 'cheek']",two girl kissing man black shirt brown hair cheek,Two girls kissing a man with a black shirt and brown hair on the cheeks,contradiction
654,"A woman wearing an elaborate array of feathers in her hair, a bead necklace, a medallion, and an aqua, brown, and olive-green dress and looks off to her left, smiling slightly.","a woman wearing an elaborate array of feathers in her hair, a bead necklace, a medallion, and an aqua, brown, and olive-green dress and looks off to her left, smiling slightly.","woman wearing elaborate array feathers hair, bead necklace, medallion, aqua, brown, olive-green dress looks left, smiling slightly.",woman wearing elaborate array feathers hair bead necklace medallion aqua brown olive-green dress looks left smiling slightly,"['woman', 'wearing', 'elaborate', 'array', 'feather', 'hair', 'bead', 'necklace', 'medallion', 'aqua', 'brown', 'olive-green', 'dress', 'look', 'left', 'smiling', 'slightly']",woman wearing elaborate array feather hair bead necklace medallion aqua brown olive-green dress look left smiling slightly,A woman wearing an elaborate array of feathers in her hair a bead necklace a medallion and an aqua brown and olive-green dress and looks off to her left smiling slightly,neutral
655,A man is riding up an escalator that is carrying shopping carts.,a man is riding up an escalator that is carrying shopping carts.,man riding escalator carrying shopping carts.,man riding escalator carrying shopping carts,"['man', 'riding', 'escalator', 'carrying', 'shopping', 'cart']",man riding escalator carrying shopping cart,A man is riding up an escalator that is carrying shopping carts,neutral
656,A man looking at a woman looking at water.,a man looking at a woman looking at water.,man looking woman looking water.,man looking woman looking water,"['man', 'looking', 'woman', 'looking', 'water']",man looking woman looking water,A man looking at a woman looking at water,entailment
657,A man looking at a woman looking at water.,a man looking at a woman looking at water.,man looking woman looking water.,man looking woman looking water,"['man', 'looking', 'woman', 'looking', 'water']",man looking woman looking water,A man looking at a woman looking at water,neutral
658,Lab tech looking through a microscope in a lab.,lab tech looking through a microscope in a lab.,lab tech looking microscope lab.,lab tech looking microscope lab,"['lab', 'tech', 'looking', 'microscope', 'lab']",lab tech looking microscope lab,Lab tech looking through a microscope in a lab,entailment
659,Lab tech looking through a microscope in a lab.,lab tech looking through a microscope in a lab.,lab tech looking microscope lab.,lab tech looking microscope lab,"['lab', 'tech', 'looking', 'microscope', 'lab']",lab tech looking microscope lab,Lab tech looking through a microscope in a lab,contradiction
660,A woman crosses the street with a baby in her arms.,a woman crosses the street with a baby in her arms.,woman crosses street baby arms.,woman crosses street baby arms,"['woman', 'cross', 'street', 'baby', 'arm']",woman cross street baby arm,A woman crosses the street with a baby in her arms,entailment
